|024040100415448241KD|,|PAKET HD TIDAK LENGKAP|,|2021|,|024040100415448241KD2021D0001M|,01-04-2021 09:02:53,01-04-2021 09:02:53,|1010401001|,|3.003.002|,350,|SET|,|PT. SINAR RODA UTAMA+2|,|00002/PO/PPO/04/2021|,|M02|,299200,,| |
|024040100415448241KD|,|PAKET A HD|,|2021|,|024040100415448241KD2021D0002M|,01-04-2021 09:02:53,01-04-2021 09:02:53,|1010401006|,|1.010.001.5|,270,|PACK|,|PT. SINAR RODA UTAMA+2|,|00002/PO/PPO/04/2021|,|M02|,48290,,| |
|024040100415448241KD|,|CKMB CONTROL// ARC|,|2021|,|024040100415448241KD2021D0003M|,01-04-2021 09:59:01,01-04-2021 09:59:01,|1010401001|,|01092014.48|,1,|KIT|,|PT ANDALAS PRIMA SENTOSA+2|,|00004/PO/PPO/04/2021|,|M02|,4284720,,| |
|024040100415448241KD|,|DYNAMIC HIP SPACER|,|2021|,|024040100415448241KD2021D0004M|,01-04-2021 10:15:30,01-04-2021 10:15:30,|1010401006|,|020200417|,1,|PAKET|,|PT. BIOTEK INTI KORPORINDO+1|,|00506/PO/PPO/06/2021|,|M02|,14700000,,| |
|024040100415448241KD|,|ARC REACTION VESSEL|,|2021|,|024040100415448241KD2021D0005M|,01-04-2021 12:12:15,01-04-2021 12:12:15,|1010401001|,|03001|,3,|KIT|,|PT ANDALAS PRIMA SENTOSA+2|,|00006/PO/PPO/04/2021|,|M02|,8118000,,| |
|024040100415448241KD|,|ARC PRE TRIGGER SL 1.0L|,|2021|,|024040100415448241KD2021D0006M|,01-04-2021 12:12:15,01-04-2021 12:12:15,|1010401001|,|02c|,2,|KIT|,|PT ANDALAS PRIMA SENTOSA+2|,|00006/PO/PPO/04/2021|,|M02|,688160,,| |
|024040100415448241KD|,|ARC CONSENTRATE WASH BUFFER|,|2021|,|024040100415448241KD2021D0007M|,01-04-2021 12:12:15,01-04-2021 12:12:15,|1010401001|,|01092014.61|,6,|KIT|,|PT ANDALAS PRIMA SENTOSA+2|,|00006/PO/PPO/04/2021|,|M02|,1502160,,| |
|024040100415448241KD|,|VITAMIN C PLUS B KOMPLEK (SAMCORBEX )TAB (AKTIF)|,|2021|,|024040100415448241KD2021D0008M|,01-04-2021 12:49:37,01-04-2021 12:49:37,|1010401002|,|021300112|,100000,|TAB|,|PT. MERAPI UTAMA PHARMA+1|,|00008/PO/PPO/04/2021|,|M02|,525,,| |
|024040100415448241KD|,|COMBIFLEX PERI (LAR MENGANDUNG ASAM AMINO + GLUKOSA + ELEKTROLIT)|,|2021|,|024040100415448241KD2021D0009M|,01-04-2021 12:58:18,01-04-2021 12:58:18,|1010401001|,|AC.903|,21,|BOTOL|,|PT. PARIT PADANG GLOBAL+1|,|00010/PO/PPO/04/2021|,|M02|,218000.2,,| |
|024040100415448241KD|,|SIMVASTATIN TABLET 10 MG|,|2021|,|024040100415448241KD2021D0010M|,01-04-2021 13:04:14,01-04-2021 13:04:14,|1010401002|,|8.010.145|,3000,|TABLET|,|PT. PARIT PADANG GLOBAL+1|,|00012/PO/PPO/04/2021|,|M02|,117,,| |
|024040100415448241KD|,|POUCHES 7.5X200 FLAT|,|2021|,|024040100415448241KD2021D0011M|,01-04-2021 13:08:52,01-04-2021 13:08:52,|1010401006|,|1.010.287|,2,|ROLL|,|PT. PARIT PADANG GLOBAL+1|,|00014/PO/PPO/04/2021|,|M02|,640904.39,,| |
|024040100415448241KD|,|CKMB 500T// ARC|,|2021|,|024040100415448241KD2021D0012M|,01-04-2021 13:09:19,01-04-2021 13:09:19,|1010401001|,|01092014.41|,1,|KIT|,|PT ANDALAS PRIMA SENTOSA+2|,|00015/PO/PPO/04/2021|,|M02|,12354496,,| |
|024040100415448241KD|,|CREATININE KINASE (CK)1250T// ARC|,|2021|,|024040100415448241KD2021D0013M|,01-04-2021 13:09:19,01-04-2021 13:09:19,|1010401001|,|01092014.49|,1,|KIT|,|PT ANDALAS PRIMA SENTOSA+2|,|00015/PO/PPO/04/2021|,|M02|,10876096,,| |
|024040100415448241KD|,|HEMOGLOBIN-AIC MULTIGEN 300T//ARC|,|2021|,|024040100415448241KD2021D0014M|,01-04-2021 13:09:19,01-04-2021 13:09:19,|1010401001|,|01092014.45|,2,|KIT|,|PT ANDALAS PRIMA SENTOSA+2|,|00015/PO/PPO/04/2021|,|M02|,17761216,,| |
|024040100415448241KD|,|MULTIGENT DIRECT LDL 450T// ARC|,|2021|,|024040100415448241KD2021D0015M|,01-04-2021 13:09:19,01-04-2021 13:09:19,|1010401001|,|01092014.11|,2,|KIT|,|PT ANDALAS PRIMA SENTOSA+2|,|00015/PO/PPO/04/2021|,|M02|,14018752,,| |
|024040100415448241KD|,|MULTIGENT CRP VARIO 500T// ARC|,|2021|,|024040100415448241KD2021D0016M|,01-04-2021 13:09:19,01-04-2021 13:09:19,|1010401001|,|01092014.20|,1,|KIT|,|PT ANDALAS PRIMA SENTOSA+2|,|00015/PO/PPO/04/2021|,|M02|,15524608,,| |
